detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
ORB,ORB,15,8.09422,9.81627,0.438098
ORB,ORB,16,8.81392,8.20377,0.443184
ORB,ORB,17,10.2926,10.8808,0.42877
ORB,ORB,18,8.30978,24.1855,0.413793
ORB,SIFT,1,12.9722,12.046,0.425932
ORB,SIFT,2,12.264,20.1071,0.412601
ORB,SIFT,3,13.9161,17.4995,0.420128
ORB,SIFT,4,15.804,221.14,0.434291
ORB,SIFT,5,12.5951,94.009,0.413797
ORB,SIFT,6,7.14812,65.7468,0.416788
ORB,SIFT,7,34.3404,-inf,0.416281
ORB,SIFT,8,18.7875,10.7163,0.410681
ORB,SIFT,9,15.8894,13.2787,0.427565
ORB,SIFT,10,13.7297,11.0582,0.410503
ORB,SIFT,11,10.4914,9.20223,0.425097
ORB,SIFT,12,10.1,-inf,0.412127
ORB,SIFT,13,9.22307,9.28989,0.419993
ORB,SIFT,14,10.9678,13.5742,0.41293
ORB,SIFT,15,8.09422,24.6352,0.406349
ORB,SIFT,16,8.81392,9.49931,0.419303
ORB,SIFT,17,10.2926,15.7683,0.413652
ORB,SIFT,18,8.30978,28.0396,0.413493
SHITOMASI,BRIEF,1,12.9722,13.5673,0.386304
SHITOMASI,BRIEF,2,12.264,14.1084,0.39996
SHITOMASI,BRIEF,3,13.9161,10.9057,0.402238
SHITOMASI,BRIEF,4,15.804,14.1025,0.396047
SHITOMASI,BRIEF,5,12.5951,12.3866,0.394234
SHITOMASI,BRIEF,6,7.14812,12.8048,0.392717
SHITOMASI,BRIEF,7,34.3404,20.9737,0.392919
SHITOMASI,BRIEF,8,18.7875,11.7625,0.393025
SHITOMASI,BRIEF,9,15.8894,11.3507,0.40295
SHITOMASI,BRIEF,10,13.7297,13.1259,0.40626
SHITOMASI,BRIEF,11,10.4914,11.3742,0.391866
SHITOMASI,BRIEF,12,10.1,11.6524,0.390397
SHITOMASI,BRIEF,13,9.22307,11.4,0.394399
SHITOMASI,BRIEF,14,10.9678,11.024,0.401555
SHITOMASI,BRIEF,15,8.09422,10.597,0.407201
SHITOMASI,BRIEF,16,8.81392,11.7852,0.40453
SHITOMASI,BRIEF,17,10.2926,10.6613,0.40032
SHITOMASI,BRIEF,18,8.30978,7.86061,0.402592
SHITOMASI,BRISK,1,12.9722,14.1113,0.544438
SHITOMASI,BRISK,2,12.264,11.5506,0.536669
SHITOMASI,BRISK,3,13.9161,13.4069,0.539775
SHITOMASI,BRISK,4,15.804,11.9678,0.5431
SHITOMASI,BRISK,5,12.5951,15.0693,0.557048
SHITOMASI,BRISK,6,7.14812,14.6341,0.546827
SHITOMASI,BRISK,7,34.3404,13.3422,0.555183
SHITOMASI,BRISK,8,18.7875,14.2028,0.552538
SHITOMASI,BRISK,9,15.8894,9.95644,0.551188
SHITOMASI,BRISK,10,13.7297,12.7837,0.546323
SHITOMASI,BRISK,11,10.4914,11.1899,0.552311
SHITOMASI,BRISK,12,10.1,12.4916,0.551766
SHITOMASI,BRISK,13,9.22307,12.1119,0.543786
SHITOMASI,BRISK,14,10.9678,10.138,0.553945
SHITOMASI,BRISK,15,8.09422,7.89257,0.545206
SHITOMASI,BRISK,16,8.81392,11.7003,0.547353
SHITOMASI,BRISK,17,10.2926,11.1337,0.556793
SHITOMASI,BRISK,18,8.30978,7.97779,0.546561
SHITOMASI,FREAK,1,12.9722,13.7003,0.416247
SHITOMASI,FREAK,2,12.264,11.9651,0.410015
SHITOMASI,FREAK,3,13.9161,11.0873,0.410953
SHITOMASI,FREAK,4,15.804,14.8128,0.421119
SHITOMASI,FREAK,5,12.5951,12.478,0.426717
SHITOMASI,FREAK,6,7.14812,13.1141,0.420043
SHITOMASI,FREAK,7,34.3404,13.2947,0.418529
SHITOMASI,FREAK,8,18.7875,12.0642,0.419181
